i,status,question_count,gemini_calls,tavily_requests,tavily_credits,duration_ms,search_ms,structuring_ms,rescue_ms,dedupe_rejections,topup_attempts,topup_added,rescue_added,json_repair_attempts,initial_source_count,rescue_seen_count,final_unique_source_count,rescue_used,top_domains,used_queries_count,used_queries_sample,domain_yield_count,domain_yield_top
1,200,20,2,3,9,369,1,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
2,200,20,2,3,9,428,0,1,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
3,200,20,2,3,9,312,0,1,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
4,200,20,2,3,9,308,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
5,200,20,2,3,9,297,0,1,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
6,200,20,2,3,9,296,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
7,200,20,2,3,9,292,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
8,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
9,200,20,2,3,9,297,0,1,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
10,200,20,2,3,9,296,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
11,200,20,2,3,9,300,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
12,200,20,2,3,9,294,1,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
13,200,20,2,3,9,415,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
14,200,20,2,3,9,299,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
15,200,20,2,3,9,296,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
16,200,20,2,3,9,290,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
17,200,20,2,3,9,296,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
18,200,20,2,3,9,293,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
19,200,20,2,3,9,295,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
20,200,20,2,3,9,292,1,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
21,200,20,2,3,9,290,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
22,200,20,2,3,9,295,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
23,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
24,200,20,2,3,9,293,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
25,200,20,2,3,9,289,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
26,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
27,200,20,2,3,9,295,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
28,200,20,2,3,9,293,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
29,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
30,200,20,2,3,9,288,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
31,200,20,2,3,9,293,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
32,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
33,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
34,200,20,2,3,9,292,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
35,200,20,2,3,9,291,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
36,200,20,2,3,9,295,1,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
37,200,20,2,3,9,300,0,1,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
38,200,20,2,3,9,295,0,1,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
39,200,20,2,3,9,296,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
40,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
41,200,20,2,3,9,297,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
42,200,20,2,3,9,289,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
43,200,20,2,3,9,292,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
44,200,20,2,3,9,295,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
45,200,20,2,3,9,298,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
46,200,20,2,3,9,568,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
47,200,20,2,3,9,289,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
48,200,20,2,3,9,295,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
49,200,20,2,3,9,292,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
50,200,20,2,3,9,329,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"